NWA 2465 - H4 - 2D (µm),NWA 2465 - H4 - 3D - µ-CT (µm),Saratov - L4 - 2D (µm),Saratov - L4 - 3D (µm),NWA 7545 - LL4 - 2D (µm),NWA 7545 - LL4 - 3D (µm),NWA 2465 - H4 - 3D (µm)
486,,1095,642,953,,562
487,,1112,643,956,,563
487,,1123,645,961,,566
487,,1136,648,965,,566
488,,1138,652,972,,566
489,,1174,655,972,,568
489,,1176,655,974,,569
489,,1194,655,975,,571
491,,1215,656,981,,572
492,,1244,657,985,,573
492,,1281,659,985,,573
493,,1287,659,986,,573
493,,1304,660,987,,573
495,,1369,661,990,,574
496,,1371,661,994,,575
497,,1416,661,996,,578
499,,1671,662,1004,,580
500,,1990,665,1010,,580
501,,2162,665,1017,,583
501,,,665,1024,,584
502,,,667,1024,,584
504,,,669,1025,,589
504,,,670,1028,,589
504,,,670,1038,,593
505,,,671,1043,,593
505,,,671,1043,,593
505,,,672,1047,,597
507,,,673,1047,,598
507,,,673,1053,,599
508,,,673,1054,,600
508,,,676,1060,,602
511,,,677,1060,,603
512,,,677,1073,,606
512,,,679,1073,,608
513,,,680,1074,,608
513,,,681,1079,,608
514,,,683,1079,,609
514,,,683,1091,,609
515,,,683,1110,,609
515,,,686,1113,,610
516,,,687,1124,,611
517,,,687,1130,,612
520,,,688,1130,,613
520,,,692,1131,,613
521,,,693,1133,,614
521,,,693,1133,,614
523,,,693,1138,,616
524,,,694,1152,,616
524,,,696,1179,,616
526,,,696,1182,,617
526,,,698,1185,,618
526,,,701,1188,,619
531,,,701,1188,,620
531,,,702,1206,,621
532,,,703,1209,,621
535,,,703,1211,,623
536,,,703,1214,,623
536,,,704,1219,,624
537,,,704,1220,,626
538,,,705,1224,,626
538,,,706,1226,,627
540,,,707,1234,,627
540,,,707,1239,,629
541,,,708,1244,,629
542,,,708,1256,,630
544,,,708,1282,,635
546,,,709,1293,,638
547,,,709,1298,,640
547,,,709,1309,,643
547,,,710,1311,,645
547,,,710,1326,,647
548,,,712,1327,,648
550,,,719,1329,,651
553,,,720,1334,,652
553,,,720,1340,,653
554,,,721,1353,,655
554,,,722,1359,,658
556,,,722,1361,,665
556,,,723,1365,,667
558,,,724,1370,,669
563,,,727,1372,,670
564,,,727,1382,,675
566,,,728,1416,,675
568,,,730,1440,,677
569,,,730,1445,,678
569,,,731,1448,,680
571,,,732,1458,,682
574,,,734,1461,,683
579,,,736,1588,,687
579,,,739,1595,,689
580,,,740,1599,,692
581,,,740,1601,,693
581,,,742,1602,,693
582,,,743,1702,,694
582,,,743,1704,,695
585,,,745,1706,,695
587,,,745,1718,,696
593,,,747,1738,,699
594,,,750,1746,,700
594,,,752,1806,,700
595,,,753,1840,,702
596,,,753,1901,,707
596,,,754,1959,,711
598,,,757,2105,,713
598,,,759,2174,,715
598,,,759,2205,,715
598,,,762,2217,,715
601,,,764,2373,,715
601,,,771,2566,,718
602,,,774,3565,,722
602,,,777,3590,,729
603,,,777,3811,,731
605,,,779,,,736
606,,,780,,,738
606,,,783,,,740
607,,,784,,,746
611,,,785,,,747
613,,,785,,,748
616,,,785,,,754
617,,,785,,,755
620,,,786,,,758
622,,,788,,,770
624,,,789,,,774
625,,,792,,,776
626,,,797,,,777
628,,,802,,,777
629,,,804,,,779
631,,,809,,,779
